stock,endDate,totalRevenue,costOfRevenue,grossProfit,totalOperatingExpenses,sellingGeneralAdministrative,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome
IVC,2019-12-31,927964000,665897000,262067000,925880000,259983000.0,2084000,2084000,-44025000.0,9302000,-53327000
IVC,2018-12-31,972347000,704671000,267676000,986727000,282056000.0,-14380000,-14380000,-34102000.0,9820000,-43922000
IVC,2017-12-31,966497000,697246000,269251000,993984000,296738000.0,-27487000,-27487000,-66250000.0,10291000,-76541000
IVC,2016-12-31,1047474000,763847000,283627000,1067823000,303976000.0,-20349000,-20349000,-29557000.0,13299000,-42856000
CSLT,2019-12-31,143308000,59074000,84234000,184646000,66578000.0,-41338000,-41338000,-40002000.0,0,-40002000
CSLT,2018-12-31,156404000,60189000,96215000,195398000,74754000.0,-38994000,-38994000,-39706000.0,0,-39706000
CSLT,2017-12-31,132020000,46652000,85368000,187317000,86163000.0,-55297000,-55297000,-57108000.0,-5206000,-51902000
CSLT,2016-12-31,98708000,31866000,66842000,154926000,82600000.0,-56218000,-56218000,-58686000.0,0,-58686000
LPX,2019-12-31,2310000000,2007000000,303000000,2237000000,233000000.0,73000000,73000000,-23000000.0,-13000000,-5000000
LPX,2018-12-31,2828000000,2084000000,744000000,2293000000,213000000.0,535000000,535000000,521000000.0,122000000,395000000
LPX,2017-12-31,2734000000,1998000000,736000000,2204000000,201000000.0,530000000,530000000,510000000.0,119000000,390000000
LPX,2016-12-31,2233400000,1829100000,404300000,2037800000,188100000.0,195600000,195600000,170100000.0,19800000,149800000
GDYN,2019-12-31,118326000,69064000,49262000,100193000,27163000.0,18133000,18133000,15449000.0,4642000,10807000
GDYN,2018-12-31,91865000,51533000,40332000,75528000,21732000.0,16337000,16337000,13083000.0,3855000,9228000
GDYN,2017-12-31,70684000,39935000,30749000,55702000,14055000.0,14982000,14982000,13108000.0,-76000,13184000
ARA,2019-12-31,822522000,568017000,254505000,739855000,133243000.0,82667000,82667000,8307000.0,-17838000,-13790000
ARA,2018-12-31,805776000,559231000,246545000,710912000,111879000.0,94864000,94864000,25363000.0,2896000,-28767000
ARA,2017-12-31,729002000,472941000,256061000,622028000,111453000.0,106974000,106974000,67607000.0,9471000,-4597000
ARA,2016-12-31,766780000,427107000,339673000,612586000,151617000.0,154194000,154194000,104145000.0,2479000,3146000
XXII,2019-12-31,25832530,25818075,14455,47536642,12236417.0,-21704112,-21704112,-26558544.0,0,-26558544
XXII,2018-12-31,26426347,25527360,898987,50444974,8585533.0,-24018627,-24018627,-7966911.0,0,-7966911
XXII,2017-12-31,16600244,17308156,-707912,29900108,8278487.0,-13299864,-13299864,-13029117.0,0,-13029117
XXII,2016-12-31,12279979,12709678,-429699,23667826,7775010.0,-11387847,-11387847,-11581430.0,0,-11581430
